SMILES,Code
COC(=O)c1c(O)cc(O)c(Cl)c1CCc1nccn1Cc1ccc(Cl)s1,11-26-12
CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1,16-21-16
Fc1ccc(Sc2ccc3c(-c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1,14-20-17
Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,31-10-21
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4[C@H](O)NC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1,19-8-1
CC1=NN(C(=O)c2ccc(Cl)cc2)C(=O)C1\N=N\c1ccc(cc1)S(=O)(=O)Nc1ncccn1,21-19-24
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2|C(=O)Nc3ccc(F)cc23)c1C,25-17-9
COCCOc1cc2nc(cnc2cc1OC)-c1ccc(CC(=O)Nc2cc(on2)C2(CC2)C(F)(F)F)c(F)c1,27-21-19
COc1cc2nc(cnc2cc1OC1COC1)-c1ccc(CC(=O)Nc2cc(on2)C(C)(C)C(F)(F)F)c(F)c1,27-22-18
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13,20-19-2
CN(c1ccc2c(C)n(C)nc2c1)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,28-15-24
Cn1cc(C2=C(C(=O)NC2=O)c2cn(C3CCN(Cc4ccccn4)CC3)c3ccccc23)c2ccccc12,6-21-19
Clc1cccc(Cl)c1C(=O)Nc1cn[nH]c1C(=O)NC1CCNCC1,5-30-8
Cc1[nH]c(\C=C2|C(=O)Nc3ccc(cc23)S(=O)(=O)Cc2c(Cl)cccc2Cl)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,20-4-11
Cc1cccc(N)c1N,4-22-17
COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,31-28-10
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,20-25-0
CN[C@@H](Cc1c(C)cc(O)cc1C)C(=O)N1Cc2ccccc2CC1C(N)=O,10-25-24
CC1(C)CCC(C)(C)c2c(Br)c(O)c(cc12)C(=O)Nc1ccc(C(O)=O)c(F)c1,7-13-27
CCN1[C@H](Cc2ccc(O)cc2)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CSSC2(CCCCC2)CC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,20-9-30
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1,27-15-0
CCN1C(Sc2ccc(OC)cc12)=CC(C)=O,14-29-8
CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,31-25-22
CC(N=O)c1ccc(OCCCc2cnc[nH]2)cc1C,10-19-28
C\C(=N|OCC(O)CNC(C)(C)C)C1CC1,4-27-29
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,30-23-17
CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,31-26-28
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO,13-11-16
Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccncc1,18-22-15
NS(=O)(=O)c1c(F)c(F)c(NCCc2ccc(O)cc2)c(F)c1F,18-2-27
COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)NC4=CCC(F)C=C4)cc3F)ccnc2cc1OCCCN1CCOCC1,28-25-10
O=C(N1CCNCC1)c1ccc(\C=C\c2n[nH]c3ccccc23)cc1,23-14-11
C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl,29-9-5
Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,23-18-22
Oc1c2cccc3N=Nc(c23)c2ccccc12,20-18-16
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,28-13-25
CC(C)(C)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1,30-18-30
CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,31-11-22
Nc1nc(cs1)-c1nc2ccccc2[nH]1,16-24-11
